# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun 22 17:27:19 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_discmethod like '%transit%'
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and pl_facility like '%kepler%')
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_facility
KIC 10525077,b,KIC 10525077 b,Transit,0,1,854.08300000,0.01628000,-0.01697000,0,,,,,,,,,89.861,0.096,-0.098,0,,,,,,0.491,0.080,-0.071,0,,,,,0,1,0,1,19h09m30.74s,287.378077,+47d46m16.3s,47.771187,1525.31,58.45,-58.45,0,1525.31,58.45,-58.45,0,15.355,,0,Kepler-band,15.304,,0,6091.00,164.00,-213.00,0,1.01,0.12,-0.12,0,1.01,0.10,-0.10,0,2016-01-05,,,,,5.500,0.900,-0.800,0,Kepler
KIC 3558849,b,KIC 3558849 b,Transit,0,1,1322.30000000,386.10000000,-11.20000000,0,,,,,,,,,89.973,0.023,-0.031,0,,,,,,0.616,0.089,-0.080,0,,,,,0,1,0,0,19h39m47.96s,294.949847,+38d36m18.7s,38.605197,1258.75,35.41,-35.41,0,1258.75,35.41,-35.41,0,14.218,,0,Kepler-band,14.167,,0,6175.00,168.00,-194.00,0,0.98,0.11,-0.11,0,1.01,0.11,-0.11,0,2016-01-05,,,,,6.900,1.000,-0.900,0,Kepler
KIC 5437945,b,KIC 5437945 b,Transit,0,2,440.78130000,0.00563000,-0.00577000,0,,,,,,,,,89.904,0.066,-0.086,0,,,,,,0.571,0.143,-0.143,0,,,,,0,1,0,1,19h13m53.97s,288.474857,+40d39m04.9s,40.651357,1322.48,29.86,-29.86,0,1322.48,29.86,-29.86,0,13.771,,0,Kepler-band,13.751,,0,6340.00,176.00,-199.00,0,1.07,0.17,-0.17,0,1.24,0.29,-0.29,0,2016-01-05,,,,,6.400,1.600,-1.600,0,Kepler
KIC 5951458,b,KIC 5951458 b,Transit,0,1,1320.10000000,12401.80000000,-152.50000000,0,,,,,,,,,89.799,0.090,-0.120,0,,,,,,0.589,2.346,-0.375,0,,,,,0,1,0,0,19h15m57.98s,288.991582,+41d13m22.9s,41.223038,758.78,12.71,-12.71,0,758.78,12.71,-12.71,0,12.713,,0,Kepler-band,12.688,,0,6258.00,170.00,-183.00,0,0.98,0.21,-0.21,0,1.52,0.82,-0.82,0,2016-01-05,,,,,6.600,26.300,-4.200,0,Kepler
KOI-7892,b,KIC 8540376 b,Transit,0,2,31.80990000,0.00919000,-0.00933000,0,,,,,,,,,89.300,0.490,-0.720,0,,,,,,0.366,0.196,-0.170,0,,,,,0,1,0,0,18h49m30.61s,282.377530,+44d41m40.5s,44.694592,1106.37,23.26,-23.26,0,1106.37,23.26,-23.26,0,14.294,,0,Kepler-band,14.217,,0,6474.00,178.00,-267.00,0,1.04,0.20,-0.20,0,1.26,0.56,-0.56,0,2016-01-05,,,,,4.100,2.200,-1.900,0,Kepler
KOI-7892,c,KIC 8540376 c,Transit,0,2,75.20000000,38.90000000,-1.10000000,0,,,,,,,,,89.701,0.160,-0.160,0,,,,,,0.214,0.170,-0.125,0,,,,,0,1,0,0,18h49m30.61s,282.377530,+44d41m40.5s,44.694592,1106.37,23.26,-23.26,0,1106.37,23.26,-23.26,0,14.294,,0,Kepler-band,14.217,,0,6474.00,178.00,-267.00,0,1.04,0.20,-0.20,0,1.26,0.56,-0.56,0,2016-01-05,,,,,2.400,1.900,-1.400,0,Kepler
KIC 9663113,b,KIC 9663113 b,Transit,0,2,572.38470000,0.00583000,-0.00567000,0,,,,,,,,,89.768,0.095,-0.062,0,,,,,,0.410,0.054,-0.062,0,,,,,0,1,0,0,19h48m10.90s,297.045421,+46d19m43.3s,46.328701,1670.88,48.28,-48.28,0,1670.88,48.28,-48.28,0,13.955,,0,Kepler-band,13.907,,0,6065.00,155.00,-180.00,0,0.98,0.13,-0.13,0,1.03,0.12,-0.12,0,2016-01-05,,,,,4.600,0.600,-0.700,0,Kepler
KOI-12,b,KOI-12 b,Transit,0,2,17.85518200,0.00000800,-0.00000600,0,0.154000,0.004000,-0.003000,0,0.340000,0.080000,-0.070000,0,,,,,1.10000,3.50000,-0.80000,0,Mass,1.230,0.060,-0.050,0,,,,,1,1,0,1,19h49m48.90s,297.453731,+41d00m39.6s,41.010991,403.99,4.42,-4.42,0,403.99,4.42,-4.42,0,11.353,,0,Kepler-band,11.253,,0,,,,,1.50,0.10,-0.10,0,1.40,0.07,-0.06,0,2019-11-07,349.61300,1112.40500,-254.26400,0,13.787,0.673,-0.560,0,Kepler
KOI-1257,b,KOI-1257 b,Transit,0,1,86.64766100,0.00003400,-0.00003400,0,0.382000,0.006000,-0.006000,0,0.772000,0.045000,-0.045000,0,89.660,0.240,-0.380,0,1.45000,0.35000,-0.35000,0,Mass,0.940,0.120,-0.120,0,2.10000,1.20000,-1.20000,0,0,1,0,1,19h24m54.04s,291.225180,+44d55m38.6s,44.927383,900.00,110.00,-110.00,0,,,,,14.867,0.062,0,V (Johnson),14.642,,0,5520.00,80.00,-80.00,0,0.99,0.05,-0.05,0,1.13,0.14,-0.14,0,2014-06-25,460.83000,111.24000,-111.24000,0,10.540,1.350,-1.350,0,Kepler
KOI-13,b,KOI-13 b,Transit,0,1,1.76358800,0.00000100,-0.00000100,0,0.036410,0.000870,-0.000870,0,0.000640,0.000120,-0.000160,0,86.770,0.048,-0.052,0,9.28000,0.16000,-0.16000,0,Mass,1.512,0.035,-0.035,0,3.60000,0.30000,-0.30000,0,1,1,0,1,19h07m53.09s,286.971199,+46d52m06.1s,46.868362,415.00,48.85,-65.07,0,,,,,9.958,,0,Kepler-band,,,,7650.00,250.00,-250.00,0,1.72,0.10,-0.10,0,1.74,0.04,-0.04,0,2015-10-15,2949.46240,50.85280,-50.85280,0,16.948,0.392,-0.392,0,Kepler
KOI-142,b,KOI-142 b,Transit,0,3,10.91647000,0.00014000,-0.00014000,0,,,,0,0.055610,0.000130,-0.000130,0,90.970,0.120,-0.120,0,0.03000,0.00360,-0.00360,0,Mass,0.307,0.007,-0.007,0,1.29000,0.16000,-0.16000,0,1,1,0,0,19h24m35.54s,291.148088,+40d40m09.9s,40.669407,339.00,25.00,-23.00,0,381.01,2.03,-2.03,0,13.110,0.160,0,V (Johnson),13.105,,0,5466.00,60.00,-60.00,0,0.99,0.02,-0.02,0,0.90,0.02,-0.02,0,2020-06-04,9.50000,1.10000,-1.10000,0,3.438,0.075,-0.075,0,Kepler
