# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun  8 13:38:15 2020
#
# User preference: *
#
# CONSTRAINT:  where (st_teffstr not null
# CONSTRAINT:  and pl_massestr <= 120
# CONSTRAINT:  and pl_radestr not null)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_facility
Kepler-138,b,Kepler-138 b,Transit,0,3,10.31260000,0.00040000,-0.00060000,0,,,,,,,,,,,,,0.00021,0.00019,-0.00012,0,Mass,0.047,0.003,-0.003,0,2.60000,2.40000,-1.50000,0,1,1,0,2,19h21m31.57s,290.381547,+43d17m34.7s,43.292973,66.99,0.11,-0.11,0,66.99,0.11,-0.11,0,12.925,,0,Kepler-band,12.472,,0,3841.00,49.00,-49.00,0,0.52,0.06,-0.06,0,0.44,0.02,-0.02,0,2015-06-17,0.06600,0.05900,-0.03700,0,0.522,0.032,-0.032,0,Kepler
TRAPPIST-1,d,TRAPPIST-1 d,Transit,0,7,4.04961000,0.00006300,-0.00006300,0,0.021440,0.000660,-0.000630,0,0.070000,,,1,89.750,0.160,-0.160,0,0.00129,0.00085,-0.00085,0,Mass,0.069,0.003,-0.003,0,4.90000,3.30000,-3.30000,0,1,0,1,2,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.800,0.080,0,V (Johnson),15.645,,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,0.41000,0.27000,-0.27000,0,0.772,0.030,-0.030,0,La Silla Observatory
KOI-55,b,KOI-55 b,Orbital Brightness Modulation,0,2,0.24010400,0.00000400,-0.00000400,0,0.006000,,,0,,,,,65.000,,,0,0.00140,,,0,Mass,0.068,,,0,,,,,0,1,0,0,19h45m25.47s,296.356105,+41d05m33.9s,41.092755,1180.00,95.00,-95.00,0,1273.86,50.93,-50.93,0,14.870,0.020,0,V (Johnson),14.906,,0,27730.00,270.00,-270.00,0,0.50,0.00,0.00,0,0.20,0.01,-0.01,0,2014-05-14,0.44000,,,0,0.759,,,0,Kepler
TRAPPIST-1,e,TRAPPIST-1 e,Transit,0,7,6.09961500,0.00001100,-0.00001100,0,0.028170,0.000830,-0.000870,0,0.085000,,,1,89.860,0.100,-0.120,0,0.00195,0.00182,-0.00182,0,Mass,0.082,0.003,-0.003,0,4.40000,4.20000,-4.20000,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.800,0.080,0,V (Johnson),15.645,,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,0.62000,0.58000,-0.58000,0,0.918,0.039,-0.039,0,Multiple Observatories
Kepler-138,d,Kepler-138 d,Transit,0,3,23.08810000,0.00090000,-0.00080000,0,,,,,,,,,,,,,0.00201,0.00212,-0.00122,0,Mass,0.108,0.007,-0.007,0,2.10000,2.20000,-1.20000,0,1,1,0,2,19h21m31.57s,290.381547,+43d17m34.7s,43.292973,66.99,0.11,-0.11,0,66.99,0.11,-0.11,0,12.925,,0,Kepler-band,12.472,,0,3841.00,49.00,-49.00,0,0.52,0.06,-0.06,0,0.44,0.02,-0.02,0,2015-06-17,0.64000,0.67400,-0.38700,0,1.212,0.075,-0.075,0,Kepler
KOI-55,c,KOI-55 c,Orbital Brightness Modulation,0,2,0.34288700,0.00001300,-0.00001300,0,0.007600,,,0,,,,,65.000,,,0,0.00210,,,0,Mass,0.077,,,0,,,,,0,1,0,0,19h45m25.47s,296.356105,+41d05m33.9s,41.092755,1180.00,95.00,-95.00,0,1273.86,50.93,-50.93,0,14.870,0.020,0,V (Johnson),14.906,,0,27730.00,270.00,-270.00,0,0.50,0.00,0.00,0,0.20,0.01,-0.01,0,2014-05-14,0.65500,,,0,0.867,,,0,Kepler
TRAPPIST-1,f,TRAPPIST-1 f,Transit,0,7,9.20669000,0.00001500,-0.00001500,0,0.037100,0.001100,-0.001100,0,0.063000,,,1,89.680,0.034,-0.034,0,0.00214,0.00057,-0.00057,0,Mass,0.093,0.003,-0.003,0,3.30000,0.94000,-0.94000,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.800,0.080,0,V (Johnson),15.645,,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,0.68000,0.18000,-0.18000,0,1.045,0.038,-0.038,0,Multiple Observatories
GJ 9827,c,GJ 9827 c,Transit,0,3,3.64809570,0.00006330,-0.00006210,0,0.039250,0.000420,-0.000290,0,0.000000,,,0,88.190,0.210,-0.180,0,0.00264,,,0,Mass,0.111,0.002,-0.002,0,2.42000,,,0,0,0,1,1,23h27m04.83s,351.770142,-01d17m10.6s,-1.286273,29.69,0.05,-0.05,0,29.69,0.05,-0.05,0,10.250,0.138,0,V (Johnson),9.838,,0,4340.00,40.00,-53.00,0,0.61,0.02,-0.01,0,0.60,0.01,0.00,0,2019-08-29,0.84000,,,0,1.241,0.024,-0.026,0,K2
TRAPPIST-1,b,TRAPPIST-1 b,Transit,0,7,1.51087081,0.00000060,-0.00000060,0,0.011110,0.000340,-0.000340,0,0.081000,,,1,89.650,0.220,-0.270,0,0.00267,0.00227,-0.00227,0,Mass,0.097,0.003,-0.003,0,3.60000,3.10000,-3.10000,0,1,0,1,0,23h06m29.28s,346.622013,-05d02m28.6s,-5.041274,12.43,0.02,-0.02,0,12.43,0.02,-0.02,0,18.800,0.080,0,V (Johnson),15.645,,0,2559.00,50.00,-50.00,0,0.08,0.01,-0.01,0,0.12,0.00,0.00,0,2017-02-22,0.85000,0.72000,-0.72000,0,1.086,0.035,-0.035,0,La Silla Observatory
L 98-59,b,L 98-59 b,Transit,0,3,2.25310000,0.00040000,-0.00040000,0,0.022820,0.000080,-0.000080,0,0.120000,,,1,,,,,0.00318,,,1,Mass,0.071,0.004,-0.004,0,12.70000,,,1,0,0,0,0,08h18m07.62s,124.531750,-68d18m46.80s,-68.313000,10.62,0.00,0.00,0,10.62,0.00,0.00,0,11.685,0.017,0,V (Johnson),10.598,,0,3412.00,49.00,-49.00,0,0.31,0.03,-0.03,0,0.31,0.01,-0.01,0,2020-04-16,1.01000,,,1,0.800,0.050,-0.050,0,Transiting Exoplanet Survey Satellite (TESS)
