pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim
19.4,1.5,-1.5,0,,,,
14.74,2.5,-2.5,0,,,,0
4.8,,,0,,,,
4.66,0.15,-0.15,0,,,,0
1.78,0.08,-0.08,0,,,,0
10.3,,,0,,,,
8,1,-1,0,,,,
0.91,0.13,-0.1,0,,,,0
1.99,0.26,-0.38,0,,,,
0.86,0.35,-0.22,0,,,,
24.5,2.5,-2.5,0,,,,
13.9,1.1,-1.1,0,1.44,0.03,-0.03,0
7.5,2.5,-2.5,0,,,,
4,1,-1,0,,,,
1.9,0.1,-0.1,0,,,,
20.95,83.79,-20.95,0,0.92,0.39,-0.36,0
12.5,1.5,-1.5,0,,,,
13.82,1.8,-1.8,0,,,,0
7.1,1.6,-1.6,0,,,,
3.88,0.85,-0.85,0,,,,
2.53,0.07,-0.06,0,,,,
0.54,0.066,-0.073,0,,,,
1.64,0.29,-0.48,0,,,,
2,,,0,,,,
0.472,0.039,-0.039,0,,,,
0.8306,0.0033,-0.0033,0,,,,
0.1714,0.0055,-0.0055,0,,,,
3.878,0.068,-0.068,0,,,,
0.02542,0.00098,-0.00098,0,0.17,0.007,-0.007,0
0.141,0.012,-0.012,0,,,,
2.01,0.077,-0.077,0,,,,
0.016,0.002,-0.002,0,,,,
0.057,0.003,-0.003,0,,,,
0.072,0.008,-0.008,0,,,,
2.46,0.14,-0.14,0,,,,
7.416,0.057,-0.057,0,,,,
3,,,0,,,,
1.31,0.16,-0.16,0,,,,0
5.3,,,0,,,,
3.2,,,0,,,,
13.5,0.5,-0.5,0,,,,
6.4,1.3,-1.3,0,,,,
1.04,0.47,-0.47,0,,,,0
1.061,0.27,-0.27,0,,,,
1.11,,,0,,,,
55.59,78.55,-78.55,0,,,,0
12.47,,,0,,,,
4.2,,,0,,,,
0.07,0.03,-0.03,0,0.23,0.01,-0.01,0
0.91,,,0,,,,
1.7,0.7,-0.7,0,,,,0
1.6,0.4,-0.2,0,,,,
0.027,0.004,-0.004,0,,,,
0.17,0.03,-0.03,0,,,,
0.04,0.01,-0.01,0,,,,0
0.33,0.03,-0.03,0,,,,
0.59,0.07,-0.07,0,,,,0
0.53,0.05,-0.05,0,,,,
